2025-11-25 20:35:36,391 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-11-25 20:35:36,408 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-11-25 20:35:36,409 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-11-25 20:35:36,409 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-11-25 20:35:36,410 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-11-25 20:35:36,410 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-11-25 20:35:36,411 INFO  SwAddin.cs: 201 - Setting up command manager
2025-11-25 20:35:36,411 INFO  SwAddin.cs: 204 - Adding command manager
2025-11-25 20:35:36,412 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-11-25 20:35:36,413 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-11-25 20:35:36,413 INFO  SwAddin.cs: 210 - Adding event handlers
2025-11-25 20:35:36,500 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-11-28 21:50:13,327 INFO  SwAddin.cs: 294 - Assembly export called for file RizonExoUrdf.SLDASM
2025-11-28 21:50:16,437 INFO  SwAddin.cs: 313 - Saving assembly
2025-11-28 21:50:16,629 INFO  SwAddin.cs: 316 - Opening property manager
2025-11-28 21:50:16,669 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from RizonExoUrdf.SLDASM
2025-11-28 21:50:16,700 INFO  ExportHelperExtension.cs: 1136 - Found 106 in RizonExoUrdf.SLDASM
2025-11-28 21:50:16,701 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in RizonExoUrdf.SLDASM
2025-11-28 21:50:16,701 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-11-28 21:50:16,702 INFO  ExportHelperExtension.cs: 1160 - 19 components to check
2025-11-28 21:50:16,703 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from baselink-1
2025-11-28 21:50:16,703 INFO  ExportHelperExtension.cs: 1136 - Found 54 in baselink-1
2025-11-28 21:50:16,703 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in baselink-1
2025-11-28 21:50:16,703 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from JointV2-4
